"","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
"2204",4,2,2,2,4,2,4,4,4,3,4,5,4,3,4,4,2,3,2,2,4,4,4,5,2,2,4
"2312",4,4,5,4,4,2,4,2,4,4,4,4,2,4,2,4,2,2,2,4,4,4,4,5,4,4,5
"729",2,3,3,2,3,4,3,4,4,3,3,3,4,4,2,4,3,3,2,3,3,3,3,3,3,2,2
"1051",4,5,5,4,5,2,2,2,4,2,4,3,5,5,4,4,3,4,5,5,3,4,2,4,5,3,2
"1688",2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,2,2,2,4,4,4,4,4,4,4,4
"1714",3,3,3,4,3,4,4,4,5,4,5,4,5,4,4,5,4,4,4,4,2,5,5,4,2,4,4
"873",2,3,2,4,2,3,4,3,2,3,4,3,2,4,3,5,2,3,2,3,5,4,4,3,4,5,4
"9901",4,2,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,2,4,4
"2115",1,2,2,3,1,3,3,3,4,4,3,3,3,3,4,2,3,5,4,3,4,5,3,4,3,4,3
"2803",1,1,1,4,1,4,1,3,4,3,3,3,4,5,4,5,4,4,4,5,5,5,3,5,4,5,3
"1377",2,3,2,4,4,4,2,2,4,4,2,2,4,5,4,4,4,4,3,5,4,4,4,4,4,4,2
"311",1,1,1,2,2,3,4,2,4,3,3,2,2,5,2,4,2,2,2,4,5,5,5,4,5,4,5
"2463",2,2,2,4,3,4,2,2,4,3,4,4,2,4,4,4,4,4,4,4,4,4,2,4,3,2,3
"1862",3,2,3,2,3,3,1,2,3,4,3,3,3,4,3,3,2,3,3,4,5,5,4,5,5,4,4
"2870",3,4,3,2,2,4,2,3,2,4,3,4,3,4,2,3,2,2,3,4,2,4,4,4,2,2,4
"2232",1,4,1,4,1,2,4,4,4,4,4,4,5,2,2,2,2,1,4,2,2,4,4,4,3,4,2
"1710",2,2,2,3,2,4,2,4,3,4,4,3,2,4,2,4,4,3,2,4,4,4,4,4,4,4,4
"1349",3,3,3,2,4,4,3,3,4,2,2,3,2,4,2,4,2,2,2,4,4,5,3,5,5,4,4
"3200",2,2,3,2,4,3,2,3,4,4,3,4,4,2,4,2,2,4,3,2,2,4,4,3,2,3,2
"10321",4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3
"2342",1,3,1,4,2,5,4,4,4,4,4,4,4,5,4,4,4,4,3,5,4,4,2,2,2,2,3
"1697",2,2,2,2,2,4,2,2,2,2,3,2,2,4,2,4,2,2,2,4,4,4,4,4,4,4,4
"82",1,1,1,1,1,4,5,1,2,4,3,2,2,5,4,4,5,1,2,5,4,5,4,5,4,4,4
"2675",1,2,1,2,1,2,2,3,2,2,2,3,5,5,5,5,5,5,4,5,3,4,3,4,3,3,2
"2304",1,1,1,1,1,3,2,3,4,1,4,3,3,3,4,4,2,1,3,5,2,3,3,3,5,1,4
"518",2,2,2,2,2,3,1,3,3,3,2,3,2,3,3,4,2,2,2,4,4,5,4,5,4,5,4
"913",4,4,5,5,5,4,5,4,4,5,5,4,4,4,3,5,4,4,4,4,4,4,4,5,3,4,5
"428",2,2,3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,2,4,3
"2987",2,3,1,3,1,4,5,4,4,4,2,4,4,3,4,3,3,4,4,3,3,3,4,3,3,2,4
"1003",2,3,2,4,4,3,2,2,2,2,3,2,5,4,4,4,2,4,4,2,3,4,2,3,2,3,4
"1164",2,2,2,2,2,4,5,4,4,4,4,4,4,5,2,5,2,4,2,5,5,5,5,5,5,5,4
"9941",2,2,3,2,3,4,2,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,2,4,2,4
"6011",1,1,1,3,2,4,2,3,4,3,4,3,4,4,4,4,4,1,4,4,3,4,3,4,3,3,4
"1484",2,2,2,3,3,3,3,2,4,3,1,2,4,4,3,2,3,4,3,4,3,4,3,3,2,2,3
"221",2,2,2,2,2,4,2,4,4,3,4,4,2,4,3,4,3,2,4,4,4,4,4,4,4,3,4
"2548",2,2,3,2,2,4,4,2,3,3,4,3,4,3,4,3,4,3,3,4,4,4,4,3,4,3,3
"9351",1,1,1,1,1,1,1,2,4,2,5,2,1,5,3,5,2,2,1,5,5,4,4,4,5,4,4
"2005",2,3,3,3,3,2,4,2,2,3,1,4,3,4,3,4,4,3,3,4,4,4,4,4,3,4,3
"6511",2,1,3,2,1,3,3,2,4,3,3,3,2,5,4,5,2,3,2,5,4,5,4,5,4,4,2
"2760",1,1,1,1,2,3,4,1,2,5,3,3,2,5,4,4,2,3,3,5,5,5,4,5,4,5,4
"1881",1,1,1,2,1,2,2,1,2,2,3,4,2,5,4,2,1,2,2,5,2,4,4,2,2,2,4
"2661",4,1,4,2,4,2,1,3,3,4,5,3,4,5,5,4,4,2,3,3,4,5,5,5,4,4,4
"2748",2,2,2,2,4,3,1,2,2,2,3,2,2,4,2,4,2,2,2,4,4,4,3,4,4,4,3
"1874",1,2,1,1,1,5,2,3,4,3,4,4,2,2,3,2,2,4,3,3,2,5,2,4,2,4,2
"1480",2,2,2,2,1,2,2,2,2,2,2,2,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3
"19710",4,4,4,4,4,3,3,3,3,3,2,3,4,4,4,4,4,2,4,4,4,5,4,4,4,3,4
"373",2,2,4,2,4,4,4,3,4,5,5,5,2,5,5,4,4,5,3,2,2,3,2,3,3,4,3
"3125",4,3,4,4,4,2,2,2,4,4,2,5,3,4,2,4,4,4,4,4,4,4,3,5,4,4,4
"2037",2,1,2,2,3,3,2,2,3,2,2,2,4,5,4,4,4,4,2,4,5,5,5,5,4,5,4
"477",3,3,3,3,2,3,2,2,2,4,2,3,3,4,3,3,3,3,2,3,4,4,4,4,4,4,4
"2347",4,4,4,5,5,3,1,2,3,1,2,2,4,3,2,4,2,4,3,3,3,3,4,3,4,3,1
"358",2,2,3,2,3,2,1,2,2,3,4,4,2,4,2,5,2,3,2,3,5,5,4,4,5,5,5
"1254",1,3,2,3,1,4,1,3,2,4,4,2,3,4,4,5,5,2,3,4,4,5,4,5,4,3,3
"2737",3,3,2,4,3,2,2,2,3,2,2,2,3,4,4,4,4,2,2,4,4,4,4,4,5,4,4
"11611",3,2,3,2,4,3,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,3,4
"801",1,1,1,1,1,2,1,3,4,3,5,4,2,5,5,5,4,1,1,5,5,5,4,5,5,5,4
"1914",2,2,3,1,4,5,4,3,4,3,4,5,3,3,2,5,3,1,2,4,4,5,5,5,3,3,5
"9161",3,2,4,2,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,2,4,3,3,3,3,3,3
"2592",2,2,1,2,2,2,1,2,1,3,4,2,4,2,2,2,2,4,4,4,5,5,2,5,4,5,5
"2411",5,4,4,4,3,4,4,4,5,4,4,5,4,5,4,5,3,4,4,4,4,4,3,3,4,5,3
"2659",2,2,2,2,2,4,3,2,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4
"2475",2,2,2,2,2,4,2,2,4,4,4,4,4,4,2,3,4,2,2,4,4,5,4,5,4,5,4
"1829",4,4,4,4,4,4,2,3,4,3,3,3,3,4,4,3,2,4,3,3,2,3,2,3,3,3,4
"1262",1,1,1,2,2,3,2,3,2,2,4,1,2,2,1,2,2,3,2,4,2,3,2,3,3,2,2
"348",2,2,4,2,4,4,2,4,4,4,4,2,3,2,3,4,3,2,4,4,4,2,4,4,4,4,2
"2485",1,2,2,2,2,4,2,3,4,3,4,4,2,5,3,4,3,2,3,4,4,4,4,4,3,4,4
"2645",2,2,2,2,3,4,2,2,2,2,4,4,2,3,1,4,2,1,2,4,5,5,4,5,5,4,2
"1725",2,2,3,2,4,3,3,2,4,4,4,4,3,2,3,4,3,3,3,3,5,5,4,5,3,4,5
"3087",1,2,2,1,2,3,2,3,4,3,3,4,3,3,3,3,3,3,3,3,2,5,3,4,2,4,3
"1057",1,2,1,2,4,2,1,2,4,4,2,4,4,2,2,2,2,4,4,2,2,4,2,2,4,2,1
"2963",3,3,3,3,2,3,1,4,2,3,3,4,3,3,4,5,3,3,3,3,4,4,3,3,4,4,4
"519",2,2,1,4,2,2,3,2,4,4,1,3,2,4,1,2,4,2,1,2,4,4,4,5,4,4,4
"1760",1,4,1,1,2,2,1,2,2,3,4,1,5,5,5,5,5,4,4,5,5,5,4,5,4,5,4
"2700",4,4,5,4,5,5,1,2,4,2,2,5,5,5,4,5,5,4,4,5,2,3,5,3,4,2,5
"2746",3,3,3,4,4,4,3,4,3,4,4,4,4,5,4,5,3,4,3,5,2,4,2,3,2,3,2
"3000",3,2,3,3,4,4,3,4,4,4,4,3,3,4,3,4,2,3,3,4,3,3,3,3,4,3,4
"2457",2,2,2,2,4,2,2,2,2,3,2,2,4,4,4,4,4,4,4,4,2,3,2,3,2,2,4
"6961",1,2,1,2,4,3,4,2,2,3,2,2,4,3,4,4,4,2,4,5,4,4,3,3,4,3,4
"252",1,2,2,2,3,3,2,1,3,3,1,3,4,4,3,3,4,5,3,4,4,3,3,3,3,2,2
"274",1,1,1,1,1,1,1,1,2,2,1,1,2,4,3,4,3,2,2,3,4,5,5,5,4,4,4
"133",1,1,1,1,1,2,1,2,4,4,4,4,2,5,4,4,4,1,2,5,5,4,2,4,5,4,4
"2263",2,2,2,5,4,2,2,4,4,4,5,4,4,2,4,5,4,4,5,4,4,4,4,4,4,5,4
"3209",5,2,5,3,3,4,3,4,5,3,5,2,4,3,4,5,3,5,4,4,5,4,3,5,5,4,5
"3224",2,2,2,2,2,4,1,2,4,2,2,4,2,4,4,4,3,4,2,3,3,4,4,4,4,4,4
"413",1,2,1,2,1,4,3,4,4,3,3,4,3,5,4,4,4,1,3,4,4,5,4,4,3,4,4
"144",2,2,2,2,2,2,3,2,4,4,3,4,2,4,4,4,2,4,4,4,2,4,2,3,2,2,4
"2978",3,3,4,3,2,4,2,3,4,3,3,3,4,4,4,4,5,4,4,5,4,4,4,4,5,4,3
"7971",2,2,2,4,5,4,2,2,5,2,4,4,5,4,4,4,5,5,4,4,4,5,4,4,5,5,4
"1385",1,2,1,3,2,3,3,2,1,1,2,3,3,4,3,4,3,3,3,4,5,5,3,5,5,5,5
"2869",2,2,2,2,2,4,2,2,4,4,5,4,2,4,4,5,4,4,4,5,4,5,5,5,4,5,4
"1836",1,2,1,3,3,3,3,3,4,2,4,3,4,4,4,4,4,4,4,4,2,3,3,3,2,2,4
"3156",2,2,2,2,2,5,1,4,4,1,2,3,4,5,2,2,3,3,3,5,4,4,4,4,4,3,3
"2864",3,4,4,4,3,3,4,2,3,4,2,2,4,4,5,4,5,2,4,5,4,4,4,5,4,4,3
"12361",3,2,3,3,4,3,2,2,2,3,4,3,4,4,4,2,5,4,4,4,3,3,4,2,3,3,4
"1930",2,2,3,1,3,3,2,1,1,3,1,1,3,3,3,4,3,3,4,3,4,4,4,3,5,3,4
"10091",2,2,2,3,2,2,4,3,3,4,4,3,4,4,4,4,4,3,4,5,4,4,2,4,3,4,4
"1384",3,2,3,2,2,4,2,2,4,4,4,4,2,4,2,2,2,3,2,4,4,4,4,4,4,3,4
"684",4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5
"1904",4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"2697",2,1,2,2,1,4,2,2,3,3,3,3,2,4,4,4,3,4,3,4,4,4,4,4,4,3,4
"2256",4,2,2,2,4,4,4,4,2,4,2,4,4,4,2,4,4,2,4,4,4,5,5,5,4,4,4
"2215",2,2,2,2,3,2,3,2,2,3,2,3,3,4,3,3,4,1,2,3,4,4,4,4,4,4,4
"3015",2,2,2,2,3,3,2,3,3,3,3,3,4,3,2,4,2,4,3,4,2,3,4,3,2,2,2
"3139",1,1,2,2,1,4,1,3,4,2,4,5,2,3,4,4,2,4,3,4,2,4,3,4,5,4,2
"3193",2,2,3,2,4,3,1,1,2,2,3,3,3,4,4,3,3,4,3,3,3,4,3,4,3,2,4
"2233",1,1,1,1,2,4,1,1,2,1,4,4,4,4,1,4,2,4,2,4,3,4,4,4,4,2,4
"1735",3,3,4,3,4,3,3,4,4,4,2,3,4,4,4,4,3,5,3,3,2,3,2,2,2,2,2
"3031",2,3,3,3,3,4,1,2,4,4,4,5,3,4,4,5,4,5,4,4,4,4,4,4,3,2,5
"1865",2,2,4,2,2,3,2,3,3,3,4,4,4,5,3,4,2,4,3,4,3,4,3,5,3,3,3
"12481",1,1,1,1,1,3,4,4,4,3,3,3,2,3,1,2,2,3,2,2,5,5,5,4,5,4,4
"757",5,3,4,3,5,4,5,5,4,4,5,4,3,3,5,4,3,3,4,4,4,5,3,4,4,5,3
"66",2,1,2,2,1,3,2,3,3,3,3,3,4,3,3,4,3,2,2,3,3,2,2,1,3,2,3
"3881",1,1,1,1,1,4,4,2,4,3,4,3,5,3,2,2,3,3,2,2,5,5,4,5,4,4,4
"3121",2,1,1,1,3,2,1,1,3,3,2,4,3,5,2,2,2,2,2,4,5,5,4,4,5,4,5
"12031",2,2,2,1,2,3,2,2,3,2,4,3,2,4,2,4,2,2,2,4,3,5,3,5,4,5,3
"1421",1,1,1,2,2,2,2,2,4,4,4,3,3,4,3,3,3,2,3,4,4,4,4,4,4,5,4
"638",4,2,4,3,3,4,2,1,2,1,3,5,3,5,4,5,4,2,3,5,5,5,5,5,5,4,5
"1743",4,3,4,2,2,2,1,2,2,2,3,2,3,3,3,5,3,2,3,4,5,5,5,5,4,5,4
"2518",3,2,3,2,3,3,2,2,2,2,3,2,3,4,2,5,2,2,2,4,4,4,3,4,4,4,4
"1759",5,5,5,4,4,4,4,4,4,3,4,4,4,4,5,3,3,4,5,4,4,5,5,4,4,5,5
"410",1,1,1,4,1,4,5,2,4,4,4,4,3,4,3,4,4,1,3,5,5,4,4,3,4,3,3
"2132",4,5,5,4,2,4,2,4,4,5,5,5,2,4,4,5,4,2,4,5,5,5,5,2,2,5,5
"909",3,2,3,2,3,4,1,4,4,3,4,4,3,4,1,4,3,1,2,4,2,3,4,4,2,2,2
"1246",2,2,2,2,2,1,3,2,2,2,2,2,2,4,4,4,4,4,2,4,4,5,3,5,5,5,5
"2725",2,2,2,4,2,4,4,2,4,4,2,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4
"2624",1,3,1,2,2,4,3,3,4,2,3,4,5,4,2,4,3,4,3,3,1,3,2,3,3,2,2
"1800",2,2,1,4,4,4,2,3,3,5,4,2,4,4,4,4,4,4,4,4,2,3,3,2,2,2,2
"2412",1,2,1,2,1,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,2,4,2,2,2,2,4
"2589",1,2,1,2,2,4,1,2,4,3,4,4,2,4,2,2,4,2,2,3,4,5,4,4,4,4,2
"2910",2,2,2,2,4,2,2,1,2,4,4,2,2,5,5,5,5,2,4,5,5,5,5,5,5,5,4
"2606",1,2,1,3,3,4,1,3,3,1,3,4,3,4,5,3,4,5,4,5,4,5,3,5,4,5,4
"1985",1,1,2,2,4,4,2,2,2,4,2,2,4,5,5,4,4,5,4,5,2,3,5,2,2,2,4
"2964",2,2,2,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,3,5,3,5,4,5,4,5,4
"2832",3,2,3,2,2,2,3,3,4,4,3,2,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"5641",2,2,2,2,2,2,3,2,4,4,2,2,2,4,4,4,4,2,2,4,4,4,4,4,3,4,4
"1941",1,2,1,1,1,3,4,3,3,2,3,3,3,3,3,4,2,3,4,3,4,5,4,2,2,2,4
"3058",4,4,4,4,4,4,3,3,5,4,3,3,4,4,4,4,3,5,2,4,3,4,4,3,4,4,4
"2555",2,2,4,2,4,4,5,4,4,4,4,4,2,5,4,4,4,3,2,4,4,5,2,4,2,5,4
"1880",2,2,4,2,2,3,2,2,4,3,5,2,3,4,3,4,4,2,2,4,5,5,5,5,5,5,5
"261",4,4,4,3,3,4,5,3,3,5,4,4,2,3,3,4,4,4,4,4,5,4,3,5,4,5,3
"1565",4,2,4,4,4,4,2,3,4,2,2,2,4,5,4,4,4,4,3,5,2,4,4,4,4,2,3
"2886",3,4,3,4,3,4,4,3,4,3,3,3,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4
"3052",2,2,2,1,4,2,2,2,3,2,3,3,2,4,3,4,2,3,2,4,3,3,5,3,3,2,5
"6010",1,1,1,3,1,1,3,1,2,2,2,2,2,2,4,4,2,4,2,4,1,2,1,1,3,1,1
"2768",2,2,2,3,2,2,2,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4
"446",3,1,3,2,2,3,1,3,2,2,3,2,3,3,2,4,3,3,2,3,5,5,5,4,5,4,5
"2957",1,2,1,2,3,4,1,1,4,1,4,3,4,5,4,5,3,2,2,4,5,5,4,5,5,3,4
"3079",2,2,2,3,2,2,1,2,4,2,3,3,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3
"728",3,3,3,2,3,3,2,4,3,4,3,3,3,2,3,4,3,3,3,2,2,4,4,3,3,3,2
"3189",1,2,2,1,4,1,2,3,3,2,3,4,3,5,4,5,4,4,4,5,5,5,5,5,5,4,5
"1879",5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"744",1,2,1,2,1,3,3,3,3,3,2,3,4,4,1,3,2,3,2,4,2,4,4,2,3,2,3
"1490",2,2,2,2,3,4,4,3,4,3,4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,3,3
"2190",2,2,2,2,3,4,2,3,5,4,2,4,4,4,3,5,4,4,4,4,4,2,4,2,4,4,4
"2690",3,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4
"4121",2,2,2,2,2,4,1,4,4,4,4,2,4,5,4,4,4,4,4,5,2,3,4,3,1,2,4
"1837",2,2,3,2,3,2,2,3,4,2,4,3,3,4,4,4,2,3,3,4,2,4,3,2,2,2,2
"1908",1,1,1,1,1,2,4,2,2,4,1,2,2,4,4,2,2,2,2,4,4,5,5,5,5,5,5
"2069",3,3,3,3,4,4,3,3,4,3,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,4
"1158",3,3,3,2,3,4,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,4,3,4,3,4,4
"1659",5,4,5,2,4,5,4,4,5,4,4,4,4,4,4,4,2,4,4,5,4,5,5,2,5,4,4
"1833",2,2,2,2,4,2,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
"668",2,4,3,4,3,2,2,4,3,4,2,4,3,4,4,3,2,4,3,3,4,4,3,2,3,2,2
"2385",2,4,4,3,4,4,2,3,2,2,5,4,4,4,4,4,4,4,3,4,2,4,2,2,2,2,2
"2355",2,2,2,2,2,4,2,2,4,2,4,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4
"2753",1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,5,5,5,5,1,3,1,1,5,1,1
"2516",2,2,2,2,4,2,2,2,2,2,4,2,2,4,4,4,2,4,2,4,2,4,2,2,2,2,2
"3036",3,2,4,3,3,4,3,2,4,4,3,2,3,4,4,4,3,4,4,4,4,5,5,5,3,4,4
"1553",3,2,2,2,4,4,3,2,4,4,4,2,4,4,4,3,2,2,2,4,4,4,4,4,4,4,4
"2510",3,3,3,4,4,4,2,3,4,4,4,3,2,5,3,4,4,4,3,4,4,5,2,4,4,4,4
"1983",2,2,2,2,2,3,2,2,4,3,2,2,2,3,2,3,2,2,2,3,3,4,4,3,3,3,4
"2741",2,2,2,2,2,2,1,1,3,2,3,4,2,5,4,4,4,2,2,5,4,4,4,4,4,4,3
"3162",1,2,1,1,3,2,1,2,5,1,3,3,4,3,4,4,4,4,3,3,4,5,4,4,2,2,4
"2083",2,3,4,2,2,4,4,4,5,3,3,5,3,2,2,2,3,2,2,4,4,4,4,2,4,2,4
"1751",5,4,4,4,5,4,5,3,5,5,5,4,4,4,4,5,4,5,5,4,5,4,3,5,5,3,4
"1376",2,2,2,4,3,3,2,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,2
"1840",1,2,1,2,2,2,1,2,4,3,2,4,4,3,3,4,2,4,2,4,2,4,2,2,1,1,2
"1718",5,4,4,5,4,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5
"2836",1,3,1,2,1,4,3,3,2,2,2,2,2,4,2,4,2,1,2,2,2,5,1,2,2,2,1
"1331",4,4,4,4,4,5,2,4,4,2,4,4,4,4,3,3,2,4,3,3,4,5,4,5,3,5,4
"1126",3,3,3,3,2,2,2,2,3,2,3,3,4,4,4,5,3,4,3,4,4,4,3,4,3,4,4
"1396",2,2,2,2,2,4,4,1,3,3,1,1,4,4,3,4,2,4,4,5,4,5,5,5,2,4,5
"2819",2,2,3,2,3,3,2,3,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4
"3129",1,2,5,4,4,4,1,3,4,4,4,4,3,5,4,5,4,2,3,5,4,5,4,5,5,3,3
"8051",2,2,2,2,1,2,3,2,3,3,3,3,2,2,3,2,1,2,2,2,4,4,3,4,3,4,3
"1651",3,5,3,3,5,3,1,1,3,3,1,3,1,2,1,1,1,1,1,3,1,5,5,3,1,2,5
"2920",2,3,3,1,4,4,2,4,4,4,4,4,4,4,4,3,3,4,3,4,3,5,4,5,2,2,4
"3006",1,1,2,1,4,2,1,1,4,2,3,2,4,4,2,4,3,4,4,5,5,4,2,4,2,4,4
"4231",1,2,1,2,3,4,2,3,4,4,4,4,3,3,2,4,2,3,3,2,2,5,5,5,4,3,5
"2654",1,2,3,2,2,2,1,2,2,2,2,2,2,4,4,2,2,2,2,5,4,4,4,4,5,2,2
"2549",1,2,2,1,4,4,1,2,2,2,2,2,4,2,2,4,2,4,2,4,4,5,2,5,5,5,4
"1468",1,1,1,2,1,2,2,1,2,2,2,2,3,3,2,4,2,3,2,4,4,4,3,5,5,4,2
"8551",4,4,4,5,4,4,2,4,4,4,4,4,4,4,3,4,2,3,2,4,4,4,4,4,3,5,4
"120",1,1,1,1,1,3,2,3,4,2,3,4,1,3,2,4,2,1,1,3,4,5,3,4,4,4,3
"219",2,1,1,4,1,4,4,4,4,4,3,2,1,4,4,4,4,1,1,4,4,4,4,5,5,5,4
"2450",1,2,4,4,1,2,4,2,2,4,4,2,2,4,4,4,2,4,2,4,5,5,5,4,4,4,4
"2125",2,2,2,2,3,4,2,2,2,2,2,2,2,3,2,3,2,2,2,4,4,4,4,4,4,4,4
"2667",1,1,1,1,2,1,1,1,1,2,4,4,5,4,4,5,4,4,4,5,5,5,2,4,4,4,2
"11761",2,2,2,2,1,3,1,2,3,5,3,4,2,4,3,4,3,3,2,3,4,4,4,4,4,4,4
"10371",2,3,3,2,3,3,2,3,3,3,3,3,3,4,2,4,3,2,2,4,4,4,4,4,3,4,3
"2444",2,2,2,4,2,4,2,2,4,4,2,2,4,4,4,5,4,4,4,4,4,5,4,4,4,2,2
"2391",3,4,3,3,3,4,4,4,4,5,5,5,4,4,4,5,4,5,4,5,2,5,5,5,4,5,4
"3222",1,1,1,1,1,2,1,1,4,4,3,3,3,5,3,3,3,3,3,4,2,1,3,1,3,1,3
"3101",2,2,2,2,5,3,2,2,2,2,4,4,4,4,3,4,3,2,3,2,4,4,3,5,3,4,3
"1517",1,1,2,2,1,4,2,2,2,2,2,2,2,4,5,4,2,2,1,5,4,5,4,4,4,4,4
"8201",1,1,1,1,3,1,1,1,2,3,1,1,1,3,2,3,2,3,1,4,4,5,4,5,5,3,4
"2447",4,2,4,4,4,4,2,2,2,4,2,2,3,5,2,5,2,3,2,3,4,4,4,4,5,4,2
"1630",4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4
"2218",2,1,4,2,4,4,4,2,3,4,5,5,4,5,4,5,4,5,3,3,3,4,4,4,4,4,4
"1548",3,2,3,3,3,3,2,3,3,3,3,4,3,4,3,4,3,3,3,4,2,3,2,3,2,2,2
"3118",3,1,3,2,4,3,2,1,4,2,4,5,3,3,2,4,2,3,2,2,5,5,5,4,4,4,4
"2396",2,2,2,2,2,2,2,2,4,2,4,4,3,4,2,2,2,2,2,3,3,3,2,3,3,3,3
"8921",3,3,4,2,4,3,2,2,4,4,2,3,3,3,4,4,2,4,3,3,3,3,2,3,2,3,4
"3183",2,2,2,2,3,4,4,5,4,4,4,4,4,4,3,5,2,4,4,4,2,4,2,4,1,2,3
"1417",2,2,2,2,2,2,1,3,3,3,2,3,2,3,3,3,2,3,3,3,4,4,4,4,3,4,4
"646",2,2,2,2,2,3,2,3,3,4,3,4,4,4,4,4,4,4,3,4,4,3,3,2,4,3,3
"2202",2,4,4,4,4,4,2,2,4,4,2,4,2,4,3,3,4,4,2,4,4,4,4,4,4,4,4
"1004",2,4,2,4,2,4,3,3,4,3,4,4,3,2,3,4,2,2,2,4,3,4,4,4,3,4,4
"2857",2,2,2,2,3,4,4,3,4,2,2,3,3,4,3,3,3,2,2,4,3,4,4,4,4,4,4
"2650",2,2,2,2,3,3,1,1,4,2,4,3,4,3,4,4,4,4,2,4,3,5,2,3,2,2,4
"1372",4,3,2,3,3,3,4,4,3,3,3,3,4,5,3,5,4,4,4,5,3,4,4,4,4,3,3
"2301",1,2,1,1,1,4,2,2,2,4,2,2,5,4,5,4,4,4,3,4,3,4,2,3,3,3,3
"928",2,2,2,1,2,1,1,1,5,2,1,4,4,5,5,1,5,2,3,5,3,5,4,4,3,4,5
"1937",1,2,1,2,2,2,2,2,2,3,1,2,4,3,3,4,2,4,3,4,3,5,2,4,3,2,2
"1524",3,3,3,3,4,2,2,2,4,3,2,2,4,4,4,4,4,4,3,4,2,4,3,4,2,4,4
"315",2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,4,3,3,2,4,3,3,2,4,3,3,4
"1387",3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"8771",1,1,1,1,3,2,4,1,2,5,2,2,4,2,2,2,2,2,1,2,4,5,4,4,4,4,4
"1081",4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,4
"2019",1,2,1,2,2,3,2,2,4,4,4,4,4,4,3,3,2,4,2,4,3,4,2,2,2,2,1
"1526",2,2,2,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,3
"2341",2,2,2,2,2,3,2,1,4,3,3,4,3,3,3,4,3,1,3,3,4,5,3,4,5,3,3
"2580",2,1,2,1,2,4,2,1,4,2,2,1,4,5,4,4,4,2,2,5,4,4,2,4,4,4,4
"1172",1,1,1,1,2,3,1,4,2,3,3,3,4,4,2,4,3,4,3,4,2,4,2,2,2,2,2
"12331",4,2,2,4,2,3,2,3,2,4,2,2,2,4,1,1,2,3,2,3,3,4,3,3,1,2,2
"2008",5,2,4,2,4,4,4,4,5,5,4,4,4,4,2,2,2,4,4,2,4,5,4,4,4,4,4
"5011",1,1,1,1,2,3,2,2,4,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,2,3,4
"22",2,2,2,2,2,4,1,3,4,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4
"469",1,5,1,5,1,2,4,2,4,2,4,2,3,3,3,3,3,4,1,3,4,2,4,2,5,3,2
"2446",2,1,2,2,2,2,1,1,2,1,4,1,2,5,3,4,4,1,1,3,5,5,5,5,2,2,4
